timestamp,source_ip,destination_ip,source_port,destination_port,tls_version,ja3_string,ja3_hash,application,version,tls_stack
2026-09-06 05:55:07,10.7.57.57,34.54.185.247,54210,443,771,"771,49195-49199-52393-52392-49196-49200-49171-49172-156-157-47-53,0-23-65281-10-11-35-16-5-18-13-28,29-23-24-25,0",4e9725a4a78a23a30c381b0e4169508c,Microsoft Edge,Installed Edge version,Edge TLS stack
2026-09-06 06:27:33,10.7.57.57,74.226.60.120,51750,443,771,"771,49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-10-11-13-35-16-23-65281,29-23-24,0",091f51a7a1c3a4504a224cc081ce9cee,Chrome,Installed Chrome version,Chrome / Windows TLS
2026-09-06 06:27:54,10.7.57.57,74.226.60.120,51750,443,771,"771,49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-10-11-13-35-16-23-65281,29-23-24,0",091f51a7a1c3a4504a224cc081ce9cee,Chrome,Installed Chrome version,Chrome / Windows TLS
2026-09-06 06:34:37,10.7.57.57,52.123.253.64,58181,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-51-49-23-65281-45-41,29-23-24,0",6634ba84945fce7cc2d7864edc49b103,Unknown,Unknown,Unknown
2026-09-06 06:41:47,10.7.57.57,52.123.253.64,64925,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-51-49-23-65281-45-41,29-23-24,0",6634ba84945fce7cc2d7864edc49b103,Unknown,Unknown,Unknown
2026-09-06 06:44:29,10.7.57.57,52.123.253.64,64925,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-51-49-23-65281-45-41,29-23-24,0",6634ba84945fce7cc2d7864edc49b103,Unknown,Unknown,Unknown
2026-09-06 06:44:29,10.7.57.57,20.184.175.20,65404,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,45-11-17613-35-51-23-16-10-0-43-65281-65037-18-27-5-13,4588-29-23-24,0",fab97b63961c487a281f8b31cb7c3c23,Unknown,Unknown,Unknown
2026-09-06 06:44:29,10.7.57.57,20.201.192.56,65405,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-16-51-49-23-65281-45-41,29-23-24,0",d7268fba5c8ebdc86121861931c04402,Python SSL,Python 3.x,Python ssl / OpenSSL
2026-09-06 06:44:49,10.7.57.57,52.123.253.64,64925,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-51-49-23-65281-45-41,29-23-24,0",6634ba84945fce7cc2d7864edc49b103,Unknown,Unknown,Unknown
2026-09-06 06:44:49,10.7.57.57,20.184.175.20,65404,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,45-11-17613-35-51-23-16-10-0-43-65281-65037-18-27-5-13,4588-29-23-24,0",fab97b63961c487a281f8b31cb7c3c23,Unknown,Unknown,Unknown
2026-09-06 06:44:49,10.7.57.57,20.201.192.56,65405,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-16-51-49-23-65281-45-41,29-23-24,0",d7268fba5c8ebdc86121861931c04402,Python SSL,Python 3.x,Python ssl / OpenSSL
2026-09-06 06:56:26,10.7.57.57,104.20.23.154,52404,443,771,"771,4866-4867-4865-49196-49200-49195-49199-52393-52392-49188-49192-49187-49191-159-158-107-103-255,0-11-10-35-22-23-13-43-45-51-21,29-23-30-25-24-256-257-258-259-260,0-1-2",93c7d42c0df602fb91589311534831f5,Unknown,Unknown,Unknown
2026-09-06 06:59:41,10.7.57.57,104.20.23.154,52404,443,771,"771,4866-4867-4865-49196-49200-49195-49199-52393-52392-49188-49192-49187-49191-159-158-107-103-255,0-11-10-35-22-23-13-43-45-51-21,29-23-30-25-24-256-257-258-259-260,0-1-2",93c7d42c0df602fb91589311534831f5,Python SSL,Python 3.12.1,Python ssl / OpenSSL 3.0.11
2026-09-06 07:00:15,10.7.57.57,104.20.23.154,52404,443,771,"771,4866-4867-4865-49196-49200-49195-49199-52393-52392-49188-49192-49187-49191-159-158-107-103-255,0-11-10-35-22-23-13-43-45-51-21,29-23-30-25-24-256-257-258-259-260,0-1-2",93c7d42c0df602fb91589311534831f5,Python SSL,Python 3.12.1,Python ssl / OpenSSL 3.0.11
2026-09-06 07:05:09,10.7.57.57,172.64.148.235,63456,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,0-45-23-65037-5-27-43-16-51764-10-18-11-35-51-13-65281-41,4588-29-23-24,0",f91e03cf566d5e56c7e78124ce4e80e8,Unknown,Unknown,Unknown
2026-09-06 07:05:09,10.7.57.57,40.90.8.111,52947,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-16-51-49-23-65281-45-41,29-23-24,0",d7268fba5c8ebdc86121861931c04402,Python SSL,Python 3.x,Python ssl / OpenSSL
2026-09-06 07:11:29,10.7.57.57,172.64.155.209,49190,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,45-18-65281-27-23-51764-16-17613-51-43-11-65037-0-10-5-13-35-41,4588-29-23-24,0",39a6b6518c34f535fe4e635f9c7ccd3f,Unknown,Unknown,Unknown
2026-09-06 07:11:29,10.7.57.57,40.126.18.32,61884,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-16-51-49-23-65281-45,29-23-24,0",fae0e5d973c96ae1888b99538efa0363,Unknown,Unknown,Unknown
2026-09-06 07:11:29,10.7.57.57,20.184.175.11,61887,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-51-49-23-65281-45-41,29-23-24,0",6634ba84945fce7cc2d7864edc49b103,Unknown,Unknown,Unknown
2026-09-06 07:19:13,10.7.57.57,172.64.155.209,49190,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,45-18-65281-27-23-51764-16-17613-51-43-11-65037-0-10-5-13-35-41,4588-29-23-24,0",39a6b6518c34f535fe4e635f9c7ccd3f,Unknown,Unknown,Unknown
2026-09-06 07:19:13,10.7.57.57,40.126.18.32,61884,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-16-51-49-23-65281-45,29-23-24,0",fae0e5d973c96ae1888b99538efa0363,Unknown,Unknown,Unknown
2026-09-06 07:19:13,10.7.57.57,20.184.175.11,61887,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-51-49-23-65281-45-41,29-23-24,0",6634ba84945fce7cc2d7864edc49b103,Unknown,Unknown,Unknown
2026-09-06 07:28:19,10.7.57.57,20.184.175.7,52287,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,10-51-65037-11-43-65281-27-5-35-18-23-0-17613-16-13-45,4588-29-23-24,0",28d16055b5487b862a503013bed06412,Unknown,Unknown,Unknown
2026-09-06 07:28:19,10.7.57.57,151.101.105.91,52288,443,771,"771,4865-4867-4866-49195-49199-52393-52392-49196-49200-49171-49172-156-157-47-53,0-23-65281-10-11-35-16-5-34-18-51-43-13-45-28-27-65037,4588-29-23-24-25-256-257,0",424f6d9c8b8928c0a0489a4f1a0f3e89,Unknown,Unknown,Unknown
2026-09-06 07:28:19,10.7.57.57,34.107.243.93,52292,443,771,"771,4865-4867-4866-49195-49199-52393-52392-49196-49200-49171-49172-156-157-47-53,0-23-65281-10-11-16-5-34-18-51-43-13-45-28-65037-41,4588-29-23-24-25-256-257,0",70bc8224f497e5e56b6b3aeeaa56d0f8,Unknown,Unknown,Unknown
2026-09-06 07:28:19,10.7.57.57,104.20.23.154,52293,443,771,"771,4866-4867-4865-49196-49200-49195-49199-52393-52392-49188-49192-49187-49191-159-158-107-103-255,0-11-10-35-22-23-13-43-45-51-21,29-23-30-25-24-256-257-258-259-260,0-1-2",93c7d42c0df602fb91589311534831f5,Python SSL,Python 3.12.1,Python ssl / OpenSSL 3.0.11
2026-09-06 07:28:19,10.7.57.57,142.250.77.142,65129,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,65037-35-18-5-13-23-45-51764-10-16-0-27-65281-17613-43-11-51,4588-29-23-24,0",2ddd928997708ca7bd80dd0ebd3e9c64,Unknown,Unknown,Unknown
2026-09-06 07:28:41,10.7.57.57,20.184.175.7,52287,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,10-51-65037-11-43-65281-27-5-35-18-23-0-17613-16-13-45,4588-29-23-24,0",28d16055b5487b862a503013bed06412,Unknown,Unknown,Unknown
2026-09-06 07:28:41,10.7.57.57,151.101.105.91,52288,443,771,"771,4865-4867-4866-49195-49199-52393-52392-49196-49200-49171-49172-156-157-47-53,0-23-65281-10-11-35-16-5-34-18-51-43-13-45-28-27-65037,4588-29-23-24-25-256-257,0",424f6d9c8b8928c0a0489a4f1a0f3e89,Unknown,Unknown,Unknown
2026-09-06 07:28:41,10.7.57.57,34.107.243.93,52292,443,771,"771,4865-4867-4866-49195-49199-52393-52392-49196-49200-49171-49172-156-157-47-53,0-23-65281-10-11-16-5-34-18-51-43-13-45-28-65037-41,4588-29-23-24-25-256-257,0",70bc8224f497e5e56b6b3aeeaa56d0f8,Unknown,Unknown,Unknown
2026-09-06 07:28:41,10.7.57.57,104.20.23.154,52293,443,771,"771,4866-4867-4865-49196-49200-49195-49199-52393-52392-49188-49192-49187-49191-159-158-107-103-255,0-11-10-35-22-23-13-43-45-51-21,29-23-30-25-24-256-257-258-259-260,0-1-2",93c7d42c0df602fb91589311534831f5,Python SSL,Python 3.12.1,Python ssl / OpenSSL 3.0.11
2026-09-06 07:28:41,10.7.57.57,142.250.77.142,65129,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,65037-35-18-5-13-23-45-51764-10-16-0-27-65281-17613-43-11-51,4588-29-23-24,0",2ddd928997708ca7bd80dd0ebd3e9c64,Unknown,Unknown,Unknown
2026-09-06 07:46:08,10.7.57.57,20.184.175.7,52287,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,10-51-65037-11-43-65281-27-5-35-18-23-0-17613-16-13-45,4588-29-23-24,0",28d16055b5487b862a503013bed06412,Unknown,Unknown,Unknown
2026-09-06 07:46:08,10.7.57.57,151.101.105.91,52288,443,771,"771,4865-4867-4866-49195-49199-52393-52392-49196-49200-49171-49172-156-157-47-53,0-23-65281-10-11-35-16-5-34-18-51-43-13-45-28-27-65037,4588-29-23-24-25-256-257,0",424f6d9c8b8928c0a0489a4f1a0f3e89,Unknown,Unknown,Unknown
2026-09-06 07:46:08,10.7.57.57,34.107.243.93,52292,443,771,"771,4865-4867-4866-49195-49199-52393-52392-49196-49200-49171-49172-156-157-47-53,0-23-65281-10-11-16-5-34-18-51-43-13-45-28-65037-41,4588-29-23-24-25-256-257,0",70bc8224f497e5e56b6b3aeeaa56d0f8,Unknown,Unknown,Unknown
2026-09-06 07:46:08,10.7.57.57,104.20.23.154,52293,443,771,"771,4866-4867-4865-49196-49200-49195-49199-52393-52392-49188-49192-49187-49191-159-158-107-103-255,0-11-10-35-22-23-13-43-45-51-21,29-23-30-25-24-256-257-258-259-260,0-1-2",93c7d42c0df602fb91589311534831f5,Python SSL,Python 3.12.1,Python ssl / OpenSSL 3.0.11
2026-09-06 07:46:08,10.7.57.57,142.250.77.142,65129,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,65037-35-18-5-13-23-45-51764-10-16-0-27-65281-17613-43-11-51,4588-29-23-24,0",2ddd928997708ca7bd80dd0ebd3e9c64,Unknown,Unknown,Unknown
